Date,Close,High,Low,Open,Volume
2021-01-04,6028.375,6046.01472201902,5926.946598390637,5997.505486466715,47937000
2021-01-05,6253.28125,6253.28125,6041.604592736248,6050.424453455572,104831000
2021-01-06,6125.39306640625,6240.051251954531,6068.063973632109,6218.001600887554,89753500
2021-01-07,6143.0322265625,6218.001033347541,6094.522998642768,6173.901735238694,71360000
2021-01-08,6218.00146484375,6244.461045545213,6151.852513090093,6204.7716744930185,75033500
2021-01-11,6478.18798828125,6491.417779952349,6301.790765999936,6306.200696556969,169034500
2021-01-12,6315.02099609375,6509.057954074284,6315.02099609375,6478.188438031926,95235000
2021-01-13,6279.74072265625,6416.448561421941,6235.641419828608,6389.988979725355,76581500
2021-01-14,6191.541015625,6253.280028601318,6169.491368133458,6218.000592614851,89319500
2021-01-15,6134.212890625,6262.10086605859,6032.7844963156,6257.6909358712255,89853500
2021-01-18,6279.74072265625,6284.150652939014,6037.194557104218,6134.213023325031,86343000
2021-01-19,6257.69189453125,6279.741548846018,6178.313138998084,6279.741548846018,73777000
2021-01-20,6257.69189453125,6434.089129049396,6235.642240216482,6319.430926612601,107216000
2021-01-21,6240.05126953125,6438.498129693022,6226.821478853799,6420.8584087897525,66428000
2021-01-22,6244.46142578125,6315.020311948269,6240.051495395811,6240.051495395811,80829000
2021-01-25,6204.77197265625,6350.299673507462,6173.902460354478,6350.299673507462,76836500
2021-01-26,6015.14501953125,6173.902512715359,6015.14501953125,6134.213139419332,98658000
2021-01-27,5988.68505859375,6112.163101038982,5913.716247109144,6015.144639117728,97920000
2021-01-28,6085.7041015625,6107.753754104393,5988.685630378171,5988.685630378171,104627000
2021-01-29,5962.2255859375,6173.90223395895,5962.2255859375,6085.703630616679,132762500
2021-02-01,6015.14501953125,6103.343626855755,5816.698153051113,5962.225855136547,113129000
2021-02-02,5997.50439453125,6156.261863798254,5997.50439453125,6143.03207469267,86741000
2021-02-03,6019.5546875,6173.902243589743,6019.5546875,6173.902243589743,67291000
2021-02-04,6046.01513671875,6173.903130128556,6028.375413489811,6103.344237212801,80950500
2021-02-05,6098.9326171875,6129.802124288232,6046.0134621576735,6059.24325091513,51602000
2021-02-08,6103.34375,6222.411872290462,6068.064306358381,6218.00194183526,45604000
2021-02-09,6156.2626953125,6200.361998287518,6134.213043824991,6173.902416502507,75574000
2021-02-10,6103.34375,6218.00194183526,6085.704028179191,6218.00194183526,44984500
2021-02-11,6068.06396484375,6160.67249919093,6032.784523187682,6160.67249919093,36926000
2021-02-15,5997.50439453125,6076.883129164752,5926.945519301471,6023.963972742417,83922000
2021-02-16,6120.98291015625,6125.392840206795,6023.964449044263,6068.063749549711,47221000
2021-02-17,6085.7041015625,6138.623267663043,6041.604796478714,6076.884240545743,66011500
2021-02-18,5940.17626953125,6085.703973239143,5940.17626953125,6041.604669085236,91204000
2021-02-19,6019.5546875,6041.604338369963,5962.225595238095,5979.865315934066,70487500
2021-02-22,5988.68505859375,6120.982961213641,5988.68505859375,6085.703520515003,68913000
2021-02-23,6019.5546875,6037.194408195971,5975.455385760073,6015.1447573260075,58360000
2021-02-24,5931.35595703125,6028.374418781947,5931.35595703125,6019.554558622793,71869000
2021-02-25,5913.71630859375,5971.045400325084,5891.666657927853,5944.585819526007,78688000
2021-02-26,5918.12646484375,6006.325070877189,5860.797370922015,5913.716534542078,173631500
2021-03-01,6213.59130859375,6213.59130859375,5997.50474072924,6023.964320467751,205539000
2021-03-02,6187.13232421875,6315.020305261048,6173.902533076443,6279.740862214897,81446500
2021-03-03,6173.90185546875,6248.8706637137275,6173.90185546875,6231.230944126673,84470000
2021-03-04,5926.94677734375,6173.902893066406,5926.94677734375,6090.11421094622,120802500
2021-03-05,5997.50439453125,6107.7526370777805,5926.945519301471,5926.945519301471,111871500
2021-03-08,5926.94677734375,6129.803586687361,5926.94677734375,6129.803586687361,90883000
2021-03-09,5825.51806640625,5922.536535339586,5821.10813600019,5909.306744121404,135582000
2021-03-10,5913.71630859375,5926.946098993289,5838.747496329698,5926.946098993289,50302000
2021-03-12,5966.6357421875,6068.064139874353,5922.53643884539,6063.654209540142,74328000
2021-03-15,5878.43701171875,6015.144849200581,5878.43701171875,6010.734918959231,57416000
2021-03-16,5843.1572265625,5918.126036261792,5838.747296580189,5918.126036261792,70755500
2021-03-17,5829.927734375,5878.436966657999,5825.517804167454,5865.207176035363,71474500
2021-03-18,5913.71630859375,5926.946098993289,5829.927636063339,5838.747496329698,70067500
2021-03-19,5962.2255859375,5971.045446271727,5843.157471425435,5971.045446271727,125853000
2021-03-22,5838.748046875,5891.667213462991,5829.928185777001,5856.387769070997,67523500
2021-03-23,5790.23828125,5926.946115765422,5781.418420958682,5926.946115765422,127762500
2021-03-24,5679.98974609375,5777.008204489762,5662.350026385385,5746.1386950001215,152050000
2021-03-25,5618.25146484375,5679.990491929945,5582.972020794496,5644.711047880691,119101500
2021-03-26,5657.94091796875,5684.400501373125,5556.512514918648,5618.251542862188,134467500
2021-03-29,5609.43115234375,5746.138987031373,5609.43115234375,5653.530453855887,113370500
2021-03-30,5640.30078125,5693.2199441702505,5618.251130033229,5618.251130033229,83115500
2021-03-31,5481.54296875,5640.300448134553,5419.80394898934,5635.890518151649,223390500
2021-04-01,5490.36328125,5530.05265436747,5428.6242564006025,5481.543420557229,112286000
